stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
ORLY,1.76724828094431,1.015545452828703,0.9956226493155672,1.015261930239905,69,8,46.666666666666664,5.3,83,0.95927325883396,0.939998580427496,0.973122505182946,0.968125382535509,280.160004
PAYX,1.450957771142,1.0184939920768898,0.9988448062002598,1.0374251708971158,74,20,48.160919540229884,11.434782608695652,60,1.01573768840393,0.996065540571773,0.970983606782787,1.02524591829775,61.0
PCAR,1.24170678461951,1.0172814865179005,0.9972911049283085,1.0058099139807728,25,6,46.04597701149425,11.6,39,1.00014950634957,1.02600892265019,1.04469352607792,1.01420023825761,66.900002
PCLN,1.56362640138507,1.0193778671161704,0.9997598139120217,1.023255237434808,27,3,45.252873563218394,3,33,1.01348680959655,1.03506948187638,1.06910344870245,1.13845929844687,1545.219971
QCOM,1.03057918962944,1.033984922246768,1.0142948622833567,1.0386474030450203,44,11,31.39080459770115,6.5,87,0.862378254799699,0.829441791727897,0.852481873020838,0.909076895115538,64.669998
QVCA,0.841058746883087,1.0245174059562452,1.0050325918508636,1.0289376640766048,5,2,37.13793103448276,4,59,1.00000000041818,0.998961038768799,1.01350649311584,1.04207786984727,19.25
REGN,1.30467536926729,1.019705633015449,1.0002211948938868,1.0148189423552674,55,7,42.195402298850574,6.333333333333333,65,0.980038466573954,0.989826747408892,1.04061036185565,1.08042342324696,363.700012
ROST,1.71999363031986,1.0227223840525514,1.0028270502868684,1.018954838929501,43,3,38.724137931034484,4.5,69,0.982492567091895,0.981157196289344,1.02418393094365,0.996142388657253,270.1235589
SBAC,1.26532186842666,1.0185827854565854,0.9989477429714302,1.0116087154391065,69,11,46.06896551724138,7.615384615384615,54,0.992612246565885,1.00464101162138,1.03883309223098,1.12123503238332,105.580002
SBUX,1.51823635332725,1.0148919288078742,0.9957235185365776,1.0031060406359682,79,9,51.48275862068966,7.7,81,1.0030864190289699,0.957990379962857,0.971536350778391,0.949931446484522,116.5543241
SIRI,1.41729276786819,1.0163337886263162,0.9964181236511942,1.0215222962656516,9,3,47.11494252873563,6.6923076923076925,29,1.00871459738126,1.04357298474946,1.0370370367451,1.1307189537342,4.59
SRCL,0.769843828480719,1.0138588452896733,0.9942745070590163,1.0029212990192717,51,9,51.64367816091954,8.416666666666666,80,1.00559080658564,0.958628474610495,0.973040153113727,1.02323273715215,80.489998
STX,0.992989835399938,1.0328419773980473,1.01275787325874,1.0251194700743216,48,9,30.517241379310345,8.05,2,1.02398272677432,1.2177310105068,1.29560767183815,1.27431958343365,37.110001
SWKS,1.58957755713144,1.0264801377839887,1.0066628084316582,1.0225936699843459,47,18,36.310344827586206,8.55,3,1.19834602938017,1.19498648686118,1.20558217047131,1.27535855162546,77.389999
SYMC,1.24084178199629,1.016548697678454,0.9969492268066222,1.0348591795891975,75,19,48.06896551724138,11.434782608695652,24,1.04609520031429,1.04990472334873,1.11809523777143,1.14514281945295,26.25
TMUS,2.13371822198492,1.0082402769231722,0.9882362360505602,1.0037466714912535,82,12,55.2183908045977,8.307692307692308,11,1.05265900185605,1.08828637357427,1.06013206339482,1.07525196218155,57.540001
TSCO,1.23319816437595,1.0203123031198837,1.0005259636491348,1.0158523114567577,35,8,44.96551724137931,10.9,78,0.973112694626867,0.961608040991897,0.963676345280265,0.938857240088549,154.919019
TSLA,1.66295171881293,1.0209666293860948,1.001348011641202,1.0162649350298756,69,16,44.11494252873563,9.9,12,1.07669558191495,1.0813015233292,1.18652024542301,1.04162267606111,236.649994
TXN,1.65076633444312,1.0139898213548613,0.9947157484436888,1.015880024241194,62,13,50.60919540229885,11.55,32,1.03465806090899,1.03760200616903,1.01351525440043,1.07895080639639,74.730003
ULTA,2.06855987089095,1.0138709049866614,0.9942695849095166,1.0144929955147532,1,1,49.28735632183908,3,34,1.01923945510305,1.03457810810249,1.02749575331458,1.08767608038901,264.040009
VIAB,0.682153103213473,1.0253813773761231,1.0054498054696606,1.0182213235867232,40,6,39.827586206896555,6.076923076923077,9,1.0583546494705,1.09485855586748,1.1246786049466,1.14395881028219,38.900002
VOD,0.845537084063865,1.0168334414768767,0.9971329945646935,1.0052512388517778,45,6,47.02298850574713,8,79,0.979631052900343,0.958877825137587,0.964258262629516,0.972713258694989,26.02
VRSK,1.34349674612689,1.0120117587980577,0.9929356166295479,1.0229951527878525,62,13,50.45977011494253,13.217391304347826,41,1.01493825919732,1.02469135802469,1.05222225975484,0.992962963275939,81.0
WBA,1.39915891171419,1.0152549382928102,0.9953074389444044,1.0170298428302362,39,7,47.54022988505747,5.8,76,0.971499809794574,0.973043617183708,0.993112433489879,1.02196887566143,84.209999
WDC,1.18232296122531,1.026889244040737,1.0069981346085557,1.01495801151193,30,5,40.5632183908046,11.75,6,1.0629253937262,1.11001536589017,1.09279066800363,1.04847902580816,71.989998
WFM,0.768442341704511,1.0210834306471226,1.0015662862571066,1.0148628480134512,62,3,43.28735632183908,2.6,74,0.985516607461666,0.973929835960847,0.982298036631082,0.953331219626275,61.58497225
XLNX,1.37180748252627,1.023959456312084,1.0040743327057673,1.0128744598678971,8,5,39.770114942528735,10.25,43,1.02591307837009,1.02382606949079,1.03826088679489,1.039478261064,57.5
YHOO,1.41186178634973,1.024582554069447,1.0049569853155582,1.038758671924723,19,6,37.172413793103445,9.565217391304348,26,1.04911029450288,1.04744958218575,1.08113873834073,1.09608538096867,42.150002
XRAY,1.23607203545087,1.012970991916244,0.9932961872389867,1.006531972844063,10,4,51.88505747126437,12.65,73,0.974733567860508,0.974905483413366,1.01443795140279,1.09504982865208,58.18
